0.274623	0.274623	tttt
7.791871	7.791871	
11.485109	11.485109	
13.323555	13.323555	
15.173988	15.173988	
29.949120	29.949120	
33.651076	33.651076	
37.331237	37.331237	
41.027744	41.027744	
44.717713	44.717713	
47.939080	47.939080	
50.042340	50.042340	
52.109638	52.109638	
53.956802	53.956802	
54.697847	54.697847	
55.791978	55.791978	
59.462331	59.462331	
63.193711	63.193711	
66.846627	66.846627	
70.599803	70.599803	
72.500366	72.500366	
74.313747	74.313747	
77.931790	77.931790	
81.628298	81.628298	
85.342241	85.342241	
88.829513	88.829513	
92.436659	92.436659	
96.255220	96.255220	
100.067244	100.067244	
103.798624	103.798624	
111.182920	111.182920	
118.584653	118.584653	
125.925359	125.925359	
133.396837	133.396837	
148.121839	148.121839	
159.141616	159.141616	
159.636372	159.636372	
160.100615	160.100615	
160.580115	160.580115	
161.013844	161.013844	
161.482446	161.482446	
161.957587	161.957587	
162.400035	162.400035	
162.879534	162.879534	
170.246395	170.246395	
173.966877	173.966877	
176.447198	176.447198	
177.626332	177.626332	
181.368610	181.368610	
185.012808	185.012808	
188.696238	188.696238	
192.423259	192.423259	
206.254648	206.254648	
207.377113	207.377113	
209.146903	209.146903	
210.146903	210.146903	
211.146903	211.146903	
